id,title,location,url,client,deadline,source
18db2c59-4a0f-4392-ece7-08dd2b433371,Tjenestedesigner og dataanalytiker til Data & Innsikt,Oslo,https://platform.fortehub.no/no/assignments/18db2c59-4a0f-4392-ece7-08dd2b433371,Entur,Ikke tilgjengelig,Forte
747ec6e1-eca6-458c-ece6-08dd2b433371,Lead Digital designer,Oslo,https://platform.fortehub.no/no/assignments/747ec6e1-eca6-458c-ece6-08dd2b433371,NorgesGruppen,Ikke tilgjengelig,Forte
bdcb1811-b2ad-45f9-a400-08dd05494f70,Leder produkt- og forretningsutvikling,Oslo,https://platform.fortehub.no/no/assignments/bdcb1811-b2ad-45f9-a400-08dd05494f70,Norsk Rikstoto,Ikke tilgjengelig,Forte
